GS, Pixel Percent
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0.00360107
32, 0
33, 0
34, 0.00456238
35, 0
36, 0.00369263
37, 0.00157166
38, 0
39, 0
40, 0.0161133
41, 0.00444031
42, 0.0085144
43, 0.00585938
44, 0.00239563
45, 0.0065918
46, 0.0139313
47, 0
48, 0.00276184
49, 0.0256195
50, 0.00369263
51, 0.00891113
52, 0
53, 0
54, 0.0170898
55, 0.0038147
56, 0
57, 0.0045166
58, 0.009552
59, 0
60, 0
61, 0.0105896
62, 0.00254822
63, 0
64, 0
65, 0.0104065
66, 0.00286865
67, 0.00617981
68, 0
69, 0.00482178
70, 0
71, 0.00469971
72, 0
73, 0.00769043
74, 0
75, 0
76, 0.00315857
77, 0.0185242
78, 0.00379944
79, 0
80, 0
81, 0
82, 0.00300598
83, 0.00230408
84, 0.00158691
85, 0
86, 0
87, 0
88, 0.000305176
89, 0.00553894
90, 0.0184479
91, 0.00520325
92, 0.012619
93, 0.0118561
94, 0.00143433
95, 0.000244141
96, 0.00465393
97, 0
98, 0.0154572
99, 0
100, 0.0062561
101, 0.00166321
102, 0.0269775
103, 0.00782776
104, 0
105, 0.00340271
106, 0.00610352
107, 0.000991821
108, 0.0149841
109, 0.00177002
110, 0.0161743
111, 0.0022583
112, 0
113, 0.00038147
114, 0.00886536
115, 0
116, 0
117, 0.0204773
118, 0.0030365
119, 0.00210571
120, 0.00292969
121, 0.0118713
122, 0.0106354
123, 0.00360107
124, 0.0122528
125, 0.00700378
126, 0.00411987
127, 0.0156403
128, 0.00236511
129, 0.00666809
130, 0.00622559
131, 0.00186157
132, 0.0164795
133, 0.00567627
134, 0.0122681
135, 0.00300598
136, 0.0300598
137, 0.00602722
138, 0.00192261
139, 0.00675964
140, 0
141, 0.00619507
142, 0.00949097
143, 0.0144196
144, 0.00553894
145, 0.00415039
146, 0
147, 0.0085907
148, 0.0106964
149, 0.0059967
150, 0.0244751
151, 0.0162964
152, 0.0127716
153, 0.00209045
154, 0.0135498
155, 0.0124359
156, 0
157, 0.0138397
158, 0.00679016
159, 0.0140686
160, 0.00822449
161, 0.0106506
162, 0.000167847
163, 0.000106812
164, 0.000930786
165, 0.00759888
166, 0.00274658
167, 0.0174255
168, 0.000274658
169, 0.00437927
170, 0.00062561
171, 0.00671387
172, 0
173, 0.00384521
174, 0.0204315
175, 0
176, 0.00160217
177, 0.003479
178, 0
179, 0.0101929
180, 0.00486755
181, 0
182, 0.00314331
183, 0
184, 0
185, 0
186, 0
187, 0.0083313
188, 0.00994873
189, 0
190, 0
191, 0
192, 0.00875854
193, 0
194, 0.00762939
195, 0.00378418
196, 0.0018158
197, 0.00540161
198, 0.00614929
199, 0.003479
200, 0
201, 0
202, 0.00183105
203, 0
204, 0.00747681
205, 0
206, 0.00430298
207, 0.0110168
208, 0.00411987
209, 0.0100861
210, 0.00230408
211, 0
212, 0.0014801
213, 0
214, 0.0070343
215, 0.00112915
216, 0
217, 0
218, 0
219, 0.00410461
220, 0
221, 0.00224304
222, 0
223, 0
224, 0
225, 0
226, 0
227, 0.00294495
228, 0
229, 0
230, 0
231, 0
232, 0
233, 0
234, 0
235, 0
236, 0
237, 0
238, 0
239, 0
240, 0
241, 0
242, 0
243, 0
244, 0
245, 0
246, 0
247, 0
248, 0
249, 0
250, 0
251, 0
252, 0
253, 0
254, 0
255, 0